entry_key, query, target_pdb_id, target_chains, target_uniprot_ids, target_ligand, num_apo_sites, num_holo_sites, target_experimental_method, target_resolution, sasa, sasa_avg, view_url, download_url
1dxd-A-HEM-154, 1dxd A HEM 154, 1dxd, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.4, 965.66, 48.28, http://apoholo.cz/db/entry/1dxd-A-HEM-154, http://apoholo.cz/api/db/entry/1dxd-A-HEM-154/download/1dxd-A-HEM-154.zip
1e19-A-ADP-315, 1e19 A ADP 315, 1e19, A, P95474, ADP, 0, 0, X-RAY_DIFFRACTION, 1.5, 828.49, 43.6, http://apoholo.cz/db/entry/1e19-A-ADP-315, http://apoholo.cz/api/db/entry/1e19-A-ADP-315/download/1e19-A-ADP-315.zip
1e19-B-ADP-315, 1e19 B ADP 315, 1e19, B, P95474, ADP, 0, 0, X-RAY_DIFFRACTION, 1.5, 867.44, 43.37, http://apoholo.cz/db/entry/1e19-B-ADP-315, http://apoholo.cz/api/db/entry/1e19-B-ADP-315/download/1e19-B-ADP-315.zip
1e29-A-HEC-201, 1e29 A HEC 201, 1e29, A, Q55013, HEC, 0, 4, X-RAY_DIFFRACTION, 1.21, 1082.05, 38.64, http://apoholo.cz/db/entry/1e29-A-HEC-201, http://apoholo.cz/api/db/entry/1e29-A-HEC-201/download/1e29-A-HEC-201.zip
1e6u-A-NAP-1317, 1e6u A NAP 1317, 1e6u, A, P32055, NAP, 1, 6, X-RAY_DIFFRACTION, 1.45, 1011.32, 38.9, http://apoholo.cz/db/entry/1e6u-A-NAP-1317, http://apoholo.cz/api/db/entry/1e6u-A-NAP-1317/download/1e6u-A-NAP-1317.zip
1e7s-A-NAP-1317, 1e7s A NAP 1317, 1e7s, A, P32055, NAP, 1, 6, X-RAY_DIFFRACTION, 1.5, 1129.99, 47.08, http://apoholo.cz/db/entry/1e7s-A-NAP-1317, http://apoholo.cz/api/db/entry/1e7s-A-NAP-1317/download/1e7s-A-NAP-1317.zip
1e85-A-HEC-128, 1e85 A HEC 128, 1e85, A, P00138, HEC, 0, 50, X-RAY_DIFFRACTION, 1.35, 1048.9, 41.96, http://apoholo.cz/db/entry/1e85-A-HEC-128, http://apoholo.cz/api/db/entry/1e85-A-HEC-128/download/1e85-A-HEC-128.zip
1eca-A-HEM-137, 1eca A HEM 137, 1eca, A, P02229, HEM, 0, 3, X-RAY_DIFFRACTION, 1.4, 931.27, 58.2, http://apoholo.cz/db/entry/1eca-A-HEM-137, http://apoholo.cz/api/db/entry/1eca-A-HEM-137/download/1eca-A-HEM-137.zip
1ecd-A-HEM-137, 1ecd A HEM 137, 1ecd, A, P02229, HEM, 0, 3, X-RAY_DIFFRACTION, 1.4, 910.57, 56.91, http://apoholo.cz/db/entry/1ecd-A-HEM-137, http://apoholo.cz/api/db/entry/1ecd-A-HEM-137/download/1ecd-A-HEM-137.zip
1ecn-A-HEM-138, 1ecn A HEM 138, 1ecn, A, P02229, HEM, 0, 3, X-RAY_DIFFRACTION, 1.4, 888.45, 55.53, http://apoholo.cz/db/entry/1ecn-A-HEM-138, http://apoholo.cz/api/db/entry/1ecn-A-HEM-138/download/1ecn-A-HEM-138.zip
1eco-A-HEM-137, 1eco A HEM 137, 1eco, A, P02229, HEM, 0, 3, X-RAY_DIFFRACTION, 1.4, 911.49, 56.97, http://apoholo.cz/db/entry/1eco-A-HEM-137, http://apoholo.cz/api/db/entry/1eco-A-HEM-137/download/1eco-A-HEM-137.zip
1ek0-A-GDP-502, 1ek0 A GDP 502, 1ek0, A, P36017, GDP, 0, 0, X-RAY_DIFFRACTION, 1.48, 417.94, 83.59, http://apoholo.cz/db/entry/1ek0-A-GDP-502, http://apoholo.cz/api/db/entry/1ek0-A-GDP-502/download/1ek0-A-GDP-502.zip
1eqm-A-ADP-171, 1eqm A ADP 171, 1eqm, A, P26281, ADP, 12, 54, X-RAY_DIFFRACTION, 1.5, 582.19, 44.78, http://apoholo.cz/db/entry/1eqm-A-ADP-171, http://apoholo.cz/api/db/entry/1eqm-A-ADP-171/download/1eqm-A-ADP-171.zip
1ew0-A-HEM-501, 1ew0 A HEM 501, 1ew0, A, P10955, HEM, 0, 1, X-RAY_DIFFRACTION, 1.4, 1004.38, 37.2, http://apoholo.cz/db/entry/1ew0-A-HEM-501, http://apoholo.cz/api/db/entry/1ew0-A-HEM-501/download/1ew0-A-HEM-501.zip
1f24-A-HEM-501, 1f24 A HEM 501, 1f24, A, P23295, HEM, 0, 32, X-RAY_DIFFRACTION, 1.4, 894.93, 29.83, http://apoholo.cz/db/entry/1f24-A-HEM-501, http://apoholo.cz/api/db/entry/1f24-A-HEM-501/download/1f24-A-HEM-501.zip
1f25-A-HEM-501, 1f25 A HEM 501, 1f25, A, P23295, HEM, 0, 32, X-RAY_DIFFRACTION, 1.4, 869.77, 28.99, http://apoholo.cz/db/entry/1f25-A-HEM-501, http://apoholo.cz/api/db/entry/1f25-A-HEM-501/download/1f25-A-HEM-501.zip
1f26-A-HEM-501, 1f26 A HEM 501, 1f26, A, P23295, HEM, 0, 32, X-RAY_DIFFRACTION, 1.4, 811.74, 27.06, http://apoholo.cz/db/entry/1f26-A-HEM-501, http://apoholo.cz/api/db/entry/1f26-A-HEM-501/download/1f26-A-HEM-501.zip
1f9t-A-ADP-999, 1f9t A ADP 999, 1f9t, A, P17119, ADP, 0, 6, X-RAY_DIFFRACTION, 1.5, 632.01, 45.14, http://apoholo.cz/db/entry/1f9t-A-ADP-999, http://apoholo.cz/api/db/entry/1f9t-A-ADP-999/download/1f9t-A-ADP-999.zip
1f9v-A-ADP-998, 1f9v A ADP 998, 1f9v, A, P17119, ADP, 5, 1, X-RAY_DIFFRACTION, 1.3, 452.5, 45.25, http://apoholo.cz/db/entry/1f9v-A-ADP-998, http://apoholo.cz/api/db/entry/1f9v-A-ADP-998/download/1f9v-A-ADP-998.zip
1f9v-A-ADP-999, 1f9v A ADP 999, 1f9v, A, P17119, ADP, 0, 6, X-RAY_DIFFRACTION, 1.3, 479.18, 43.56, http://apoholo.cz/db/entry/1f9v-A-ADP-999, http://apoholo.cz/api/db/entry/1f9v-A-ADP-999/download/1f9v-A-ADP-999.zip
1flp-A-HEM-143, 1flp A HEM 143, 1flp, A, P41260, HEM, 0, 3, X-RAY_DIFFRACTION, 1.5, 857.83, 45.15, http://apoholo.cz/db/entry/1flp-A-HEM-143, http://apoholo.cz/api/db/entry/1flp-A-HEM-143/download/1flp-A-HEM-143.zip
1gej-A-HEM-501, 1gej A HEM 501, 1gej, A, P23295, HEM, 0, 32, X-RAY_DIFFRACTION, 1.5, 913.03, 29.45, http://apoholo.cz/db/entry/1gej-A-HEM-501, http://apoholo.cz/api/db/entry/1gej-A-HEM-501/download/1gej-A-HEM-501.zip
1gjn-A-HEM-1154, 1gjn A HEM 1154, 1gjn, A, P68082, HEM, 0, 166, X-RAY_DIFFRACTION, 1.35, 798.66, 42.03, http://apoholo.cz/db/entry/1gjn-A-HEM-1154, http://apoholo.cz/api/db/entry/1gjn-A-HEM-1154/download/1gjn-A-HEM-1154.zip
1gq1-A-HEC-601, 1gq1 A HEC 601, 1gq1, A, P72181, HEC, 0, 22, X-RAY_DIFFRACTION, 1.4, 872.1, 41.53, http://apoholo.cz/db/entry/1gq1-A-HEC-601, http://apoholo.cz/api/db/entry/1gq1-A-HEC-601/download/1gq1-A-HEC-601.zip
1gq1-B-HEC-601, 1gq1 B HEC 601, 1gq1, B, P72181, HEC, 0, 22, X-RAY_DIFFRACTION, 1.4, 855.69, 42.78, http://apoholo.cz/db/entry/1gq1-B-HEC-601, http://apoholo.cz/api/db/entry/1gq1-B-HEC-601/download/1gq1-B-HEC-601.zip
1gu2-A-HEC-125, 1gu2 A HEC 125, 1gu2, A, Q9RQB9, HEC, 0, 3, X-RAY_DIFFRACTION, 1.19, 1055.59, 55.56, http://apoholo.cz/db/entry/1gu2-A-HEC-125, http://apoholo.cz/api/db/entry/1gu2-A-HEC-125/download/1gu2-A-HEC-125.zip
1gu2-B-HEC-125, 1gu2 B HEC 125, 1gu2, B, Q9RQB9, HEC, 0, 3, X-RAY_DIFFRACTION, 1.19, 950.54, 52.81, http://apoholo.cz/db/entry/1gu2-B-HEC-125, http://apoholo.cz/api/db/entry/1gu2-B-HEC-125/download/1gu2-B-HEC-125.zip
1gve-A-NAP-1328, 1gve A NAP 1328, 1gve, A, P38918, NAP, 0, 0, X-RAY_DIFFRACTION, 1.38, 986.6, 29.02, http://apoholo.cz/db/entry/1gve-A-NAP-1328, http://apoholo.cz/api/db/entry/1gve-A-NAP-1328/download/1gve-A-NAP-1328.zip
1gwe-A-HEM-504, 1gwe A HEM 504, 1gwe, A, P29422, HEM, 0, 3, X-RAY_DIFFRACTION, 0.88, 759.11, 28.12, http://apoholo.cz/db/entry/1gwe-A-HEM-504, http://apoholo.cz/api/db/entry/1gwe-A-HEM-504/download/1gwe-A-HEM-504.zip
1gwu-A-HEM-1306, 1gwu A HEM 1306, 1gwu, A, P00433, HEM, 0, 39, X-RAY_DIFFRACTION, 1.31, 937.13, 31.24, http://apoholo.cz/db/entry/1gwu-A-HEM-1306, http://apoholo.cz/api/db/entry/1gwu-A-HEM-1306/download/1gwu-A-HEM-1306.zip
1gyo-A-HEC-111, 1gyo A HEC 111, 1gyo, A B, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1335.19, 58.05, http://apoholo.cz/db/entry/1gyo-A-HEC-111, http://apoholo.cz/api/db/entry/1gyo-A-HEC-111/download/1gyo-A-HEC-111.zip
1gyo-A-HEC-112, 1gyo A HEC 112, 1gyo, A, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1343.99, 74.67, http://apoholo.cz/db/entry/1gyo-A-HEC-112, http://apoholo.cz/api/db/entry/1gyo-A-HEC-112/download/1gyo-A-HEC-112.zip
1gyo-A-HEC-113, 1gyo A HEC 113, 1gyo, A, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1399.04, 60.83, http://apoholo.cz/db/entry/1gyo-A-HEC-113, http://apoholo.cz/api/db/entry/1gyo-A-HEC-113/download/1gyo-A-HEC-113.zip
1gyo-A-HEC-114, 1gyo A HEC 114, 1gyo, A, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1430.64, 57.23, http://apoholo.cz/db/entry/1gyo-A-HEC-114, http://apoholo.cz/api/db/entry/1gyo-A-HEC-114/download/1gyo-A-HEC-114.zip
1gyo-B-HEC-111, 1gyo B HEC 111, 1gyo, A B, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1337.44, 58.15, http://apoholo.cz/db/entry/1gyo-B-HEC-111, http://apoholo.cz/api/db/entry/1gyo-B-HEC-111/download/1gyo-B-HEC-111.zip
1gyo-B-HEC-112, 1gyo B HEC 112, 1gyo, B, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1378.17, 76.57, http://apoholo.cz/db/entry/1gyo-B-HEC-112, http://apoholo.cz/api/db/entry/1gyo-B-HEC-112/download/1gyo-B-HEC-112.zip
1gyo-B-HEC-113, 1gyo B HEC 113, 1gyo, B, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1365.75, 62.08, http://apoholo.cz/db/entry/1gyo-B-HEC-113, http://apoholo.cz/api/db/entry/1gyo-B-HEC-113/download/1gyo-B-HEC-113.zip
1gyo-B-HEC-114, 1gyo B HEC 114, 1gyo, B, Q9R638, HEC, 0, 0, X-RAY_DIFFRACTION, 1.2, 1437.95, 59.91, http://apoholo.cz/db/entry/1gyo-B-HEC-114, http://apoholo.cz/api/db/entry/1gyo-B-HEC-114/download/1gyo-B-HEC-114.zip
1h1x-A-HEM-1154, 1h1x A HEM 1154, 1h1x, A, P02185, HEM, 0, 347, X-RAY_DIFFRACTION, 1.4, 933.24, 46.66, http://apoholo.cz/db/entry/1h1x-A-HEM-1154, http://apoholo.cz/api/db/entry/1h1x-A-HEM-1154/download/1h1x-A-HEM-1154.zip
1h32-A-HEC-1263, 1h32 A HEC 1263, 1h32, A, Q939U1, HEC, 0, 9, X-RAY_DIFFRACTION, 1.5, 740.99, 41.17, http://apoholo.cz/db/entry/1h32-A-HEC-1263, http://apoholo.cz/api/db/entry/1h32-A-HEC-1263/download/1h32-A-HEC-1263.zip
1h32-A-HEC-1264, 1h32 A HEC 1264, 1h32, A, Q939U1, HEC, 0, 9, X-RAY_DIFFRACTION, 1.5, 775.71, 28.73, http://apoholo.cz/db/entry/1h32-A-HEC-1264, http://apoholo.cz/api/db/entry/1h32-A-HEC-1264/download/1h32-A-HEC-1264.zip
1h32-B-HEC-1139, 1h32 B HEC 1139, 1h32, A B, Q939U1 Q939U4, HEC, 0, 9, X-RAY_DIFFRACTION, 1.5, 827.86, 31.84, http://apoholo.cz/db/entry/1h32-B-HEC-1139, http://apoholo.cz/api/db/entry/1h32-B-HEC-1139/download/1h32-B-HEC-1139.zip
